done writing
done reading
done reading
done writing
8096 bytes | received 8096 bytes
wrote 979616 bytes | received 971520 bytes
wrote 979616 bytes | received 979616 bytes
wrote 987712 bytes | received 979616 bytes
wrote 987712 bytes | received 987712 bytes
wrote 995808 bytes | received 987712 bytes
wrote 995808 bytes | received 995808 bytes
wrote 1003904 bytes | received 995808 bytes
wrote 1003904 bytes | received 1003904 bytes
wrote 1012000 bytes | received 1003904 bytes
wrote 1012000 bytes | received 1012000 bytes
wrote 1020096 bytes | received 1012000 bytes
wrote 1020096 bytes | received 1020096 bytes
wrote 1028192 bytes | received 1020096 bytes
wrote 1028192 bytes | received 1028192 bytes
wrote 1036288 bytes | received 1028192 bytes
wrote 1036288 bytes | received 1036288 bytes
wrote 1044384 bytes | received 1036288 bytes
wrote 1044384 bytes | received 1044384 bytes
wrote 1052480 bytes | received 1044384 bytes
wrote 1052480 bytes | received 1052480 bytes
wrote 1060576 bytes | received 1052480 bytes
wrote 1060576 bytes | received 1060576 bytes
wrote 1068672 bytes | received 1060576 bytes
wrote 1068672 bytes | received 1068672 bytes
wrote 1076768 bytes | received 1068672 bytes
wrote 1076768 bytes | received 1076768 bytes
wrote 1084864 bytes | received 1076768 bytes
wrote 1084864 bytes | received 1084864 bytes
wrote 1092960 bytes | received 1084864 bytes
wrote 1092960 bytes | received 1092960 bytes
wrote 1101056 bytes | received 1092960 bytes
wrote 1101056 bytes | received 1101056 bytes
wrote 1109152 bytes | received 1101056 bytes
wrote 1109152 bytes | received 1109152 bytes
wrote 1117248 bytes | received 1109152 bytes
wrote 1117248 bytes | received 1117248 bytes
wrote 1125344 bytes | received 1117248 bytes
wrote 1125344 bytes | received 1125344 bytes
wrote 1133440 bytes | received 1125344 bytes
wrote 1133440 bytes | received 1133440 bytes
wrote 1141536 bytes | received 1133440 bytes
wrote 1141536 bytes | received 1141536 bytes
wrote 1149632 bytes | received 1141536 bytes
wrote 1149632 bytes | received 1149632 bytes
wrote 1157728 bytes | received 1149632 bytes
wrote 1157728 bytes | received 1157728 bytes
wrote 1165824 bytes | received 1157728 bytes
wrote 1165824 bytes | received 1165824 bytes
wrote 1173920 bytes | received 1165824 bytes
wrote 1173920 bytes | received 1173920 bytes
wrote 1182016 bytes | received 1173920 bytes
wrote 1182016 bytes | received 1182016 bytes
wrote 1190112 bytes | received 1182016 bytes
wrote 1190112 bytes | received 1190112 bytes
wrote 1198208 bytes | received 1190112 bytes
wrote 1198208 bytes | received 1198208 bytes
wrote 1206304 bytes | received 1198208 bytes
wrote 1206304 bytes | received 1206304 bytes
wrote 1214400 bytes | received 1206304 bytes
wrote 1214400 bytes | received 1214400 bytes
wrote 1222496 bytes | received 1214400 bytes
wrote 1222496 bytes | received 1222496 bytes
wrote 1230592 bytes | received 1222496 bytes
wrote 1230592 bytes | received 1230592 bytes
wrote 1238688 bytes | received 1230592 bytes
wrote 1238688 bytes | received 1238688 bytes
wrote 1246784 bytes | received 1238688 bytes
wrote 1246784 bytes | received 1246784 bytes
wrote 1254880 bytes | received 1246784 bytes
wrote 1254880 bytes | received 1254880 bytes
wrote 1262976 bytes | received 1254880 bytes
wrote 1262976 bytes | received 1262976 bytes
wrote 1271072 bytes | received 1262976 bytes
wrote 1271072 bytes | received 1271072 bytes
wrote 1279168 bytes | received 1271072 bytes
wrote 1279168 bytes | received 1279168 bytes
wrote 1287264 bytes | received 1279168 bytes
wrote 1287264 bytes | received 1287264 bytes
wrote 1295360 bytes | received 1287264 bytes
wrote 1295360 bytes | received 1295360 bytes
wrote 1303456 bytes | received 1295360 bytes
wrote 1303456 bytes | received 1303456 bytes
wrote 1311552 bytes | received 1303456 bytes
wrote 1311552 bytes | received 1311552 bytes
wrote 1319648 bytes | received 1311552 bytes
wrote 1319648 bytes | received 1319648 bytes
wrote 1327744 bytes | received 1319648 bytes
wrote 1327744 bytes | received 1327744 bytes
wrote 1335840 bytes | received 1327744 bytes
wrote 1335840 bytes | received 1335840 bytes
wrote 1343936 bytes | received 1335840 bytes
wrote 1343936 bytes | received 1343936 bytes
wrote 1352032 bytes | received 1343936 bytes
wrote 1352032 bytes | received 1352032 bytes
wrote 1360128 bytes | received 1352032 bytes
wrote 1360128 bytes | received 1360128 bytes
wrote 1368224 bytes | received 1360128 bytes
wrote 1368224 bytes | received 1368224 bytes
wrote 1376320 bytes | received 1368224 bytes
wrote 1376320 bytes | received 1376320 bytes
wrote 1384416 bytes | received 1376320 bytes
wrote 1384416 bytes | received 1384416 bytes
wrote 1392512 bytes | received 1384416 bytes
wrote 1392512 bytes | received 1392512 bytes
wrote 1400608 bytes | received 1392512 bytes
wrote 1400608 bytes | received 1400608 bytes
wrote 1408704 bytes | received 1400608 bytes
wrote 1408704 bytes | received 1408704 bytes
wrote 1416800 bytes | received 1408704 bytes
wrote 1416800 bytes | received 1416800 bytes
wrote 1424896 bytes | received 1416800 bytes
wrote 1424896 bytes | received 1424896 bytes
wrote 1432992 bytes | received 1424896 bytes
wrote 1432992 bytes | received 1432992 bytes
wrote 1441088 bytes | received 1432992 bytes
wrote 1441088 bytes | received 1441088 bytes
wrote 1449184 bytes | received 1441088 bytes
wrote 1449184 bytes | received 1449184 bytes
wrote 1457280 bytes | received 1449184 bytes
wrote 1457280 bytes | received 1457280 bytes
wrote 1465376 bytes | received 1457280 bytes
wrote 1465376 bytes | received 1465376 bytes
wrote 1473472 bytes | received 1465376 bytes
wrote 1473472 bytes | received 1473472 bytes
wrote 1481568 bytes | received 1473472 bytes
wrote 1481568 bytes | received 1481568 bytes
wrote 1489664 bytes | received 1481568 bytes
wrote 1489664 bytes | received 1489664 bytes
wrote 1497760 bytes | received 1489664 bytes
wrote 1497760 bytes | received 1497760 bytes
wrote 1505856 bytes | received 1497760 bytes
wrote 1505856 bytes | received 1505856 bytes
wrote 1513952 bytes | received 1505856 bytes
wrote 1513952 bytes | received 1513952 bytes
wrote 1522048 bytes | received 1513952 bytes
wrote 1522048 bytes | received 1522048 bytes
wrote 1530144 bytes | received 1522048 bytes
wrote 1530144 bytes | received 1530144 bytes
wrote 1538240 bytes | received 1530144 bytes
wrote 1538240 bytes | received 1538240 bytes
wrote 1546336 bytes | received 1538240 bytes
wrote 1546336 bytes | received 1546336 bytes
wrote 1554432 bytes | received 1546336 bytes
wrote 1554432 bytes | received 1554432 bytes
wrote 1562528 bytes | received 1554432 bytes
wrote 1562528 bytes | received 1562528 bytes
wrote 1570624 bytes | received 1562528 bytes
wrote 1570624 bytes | received 1570624 bytes
wrote 1578720 bytes | received 1570624 bytes
wrote 1578720 bytes | received 1578720 bytes
wrote 1586816 bytes | received 1578720 bytes
wrote 1586816 bytes | received 1586816 bytes
wrote 1594912 bytes | received 1586816 bytes
wrote 1594912 bytes | received 1594912 bytes
wrote 1603008 bytes | received 1594912 bytes
wrote 1603008 bytes | received 1603008 bytes
wrote 1611104 bytes | received 1603008 bytes
wrote 1611104 bytes | received 1611104 bytes
wrote 1619200 bytes | received 1611104 bytes
wrote 1619200 bytes | received 1619200 bytes
wrote 1627296 bytes | received 1619200 bytes
wrote 1627296 bytes | received 1627296 bytes
wrote 1635392 bytes | received 1627296 bytes
wrote 1635392 bytes | received 1635392 bytes
wrote 1643488 bytes | received 1635392 bytes
wrote 1643488 bytes | received 1643488 bytes
wrote 1651584 bytes | received 1643488 bytes
wrote 1651584 bytes | received 1651584 bytes
wrote 1659680 bytes | received 1651584 bytes
wrote 1659680 bytes | received 1659680 bytes
wrote 1667776 bytes | received 1659680 bytes
wrote 1667776 bytes | received 1667776 bytes
wrote 1675872 bytes | received 1667776 bytes
wrote 1675872 bytes | received 1675872 bytes
wrote 1683968 bytes | received 1675872 bytes
wrote 1683968 bytes | received 1683968 bytes
wrote 1692064 bytes | received 1683968 bytes
wrote 1692064 bytes | received 1692064 bytes
wrote 1700160 bytes | received 1692064 bytes
wrote 1700160 bytes | received 1700160 bytes
wrote 1708256 bytes | received 1700160 bytes
wrote 1708256 bytes | received 1708256 bytes
wrote 1716352 bytes | received 1708256 bytes
wrote 1716352 bytes | received 1716352 bytes
wrote 1724448 bytes | received 1716352 bytes
wrote 1724448 bytes | received 1724448 bytes
wrote 1732544 bytes | received 1724448 bytes
wrote 1732544 bytes | received 1732544 bytes
